서울,        15,        12,        15,        38,        35,        16,        27,        14,        10,        13,        11,        23,        26,        33,        37,        23,        25,        34,        43,        37,        29,        17,        13,        24,        32,        23,        21,        23,        16,        14,        10
부산,        23,        41,        44,        65,        34,        43,        48,        16,        17,        15,        23,        20,        23,        25,        29,        21,        35,        47,        54,        53,        44,        24,        28,        30,        38,        28,        21,        14,        14,        23,        16
대구,        26,        28,        32,        44,        41,        23,        18,         7,        11,         9,        22,        22,        24,        27,        26,        21,        25,        31,        37,        40,        48,        27,        25,        32,        34,        26,        20,        19,        14,        17,        14
인천,        17,        15,        19,        47,        36,        16,        22,        13,        11,        13,        11,        26,        27,        34,        36,        22,        23,        31,        43,        37,        29,        23,        14,        24,        34,        25,        23,        22,        16,        15,        11
광주,        16,        18,        29,        38,        28,        20,        16,        12,        11,         8,        20,        17,        16,        22,        17,        17,        23,        26,        35,        32,        36,        43,        30,        26,        25,        16,        24,        13,         9,        12,        18
대전,        17,        13,        18,        25,        28,,         6,         5,         9,         8,        11,        17,        21,        25,        24,        16,        23,        27,        36,        37,        38,        29,        20,        26,        25,        22,        21,        18,        10,        11,         7
울산,        26,        33,        36,        54,        33,        30,        37,        14,        13,        15,        19,        20,        24,        26,        29,        23,        35,        48,        51,        41,        39,        20,        22,        31,        42,        28,        18,        16,        15,        17,        15
경기,        17,        12,        14,        35,        33,        16,        27,        15,        11,        13,        13,        25,        27,        33,        35,        22,        26,        35,        45,        41,        32,        22,        17,        27,        34,        25,        22,        23,        16,        16,        12
강원,        17,        11,        12,        16,        16,        12,        21,        14,        11,        12,        10,        18,        20,        22,        21,        22,        25,        28,        38,        34,        18,        15,        15,        24,        28,        23,        20,        22,        15,        11,        14
충북,        20,        14,        18,        23,        23,        14,        17,        12,        12,        11,        10,        17,        20,        27,        30,        20,        23,        34,        44,        41,        38,        25,        20,        26,        27,        22,        19,        20,        12,        11,        12
충남,        19,        17,        23,        38,        32,        18,        19,        12,        13,        12,        16,        22,        22,        29,        29,        20,        24,        30,        40,        39,        35,        34,        24,        30,        33,        27,        24,        22,        13,        16,        17
전북,        16,        17,        26,        34,        28,        18,        13,         8,        11,         8,        18,        19,        19,        25,        23,        19,        22,        26,        33,        33,        33,        38,        29,        29,        28,        19,        24,        17,        11,        11,        15
전남,        21,        31,        38,        52,        33,        25,        46,        21,        17,        13,        23,        21,        21,        25,        19,        19,        23,        31,        37,        35,        41,        38,        33,        32,        31,        21,        30,        17,        14,        17,        19
경북,        20,        25,        28,        38,        39,        22,        17,         8,        14,         9,        17,        17,        21,        25,        26,        22,        23,        29,        34,        36,        35,        20,        20,        30,        34,        27,        19,        19,        15,        13,        15
경남,        24,        36,        40,        57,        34,        32,        42,        15,        15,        12,        20,        21,        22,        25,        27,        21,        30,        37,        42,        45,        50,        32,        31,        33,        35,        24,        23,        16,        17,        20,        19
제주,        28,        38,        42,        54,        32,        42,        62,        24,        17,        19,        24,        24,        20,        24,        16,        20,        24,        34,        35,        27,        29,        34,        28,        36,        31,,        26,        21,        17,        21,        22
