년도,재학생,졸업생,검정고시등,합계,etc
1994,526703,248102,10045,784850,0
1995,477960,261492,42297,781749,-48743
1996,526558,301521,12582,840661,48598
1997,545023,268038,11307,824368,18465
1998,613376,261423,10416,885215,68353
1999,623130,233893,11620,868643,9754
2000,631745,250064,14313,896122,8615
2001,603238,254538,14417,872193,-28507
2002,541662,185946,11521,739129,-61576
2003,482075,179733,13951,675759,-59587
2004,476118,184188,13279,673585,-5957
2005,435538,161524,13195,610257,-40580
2006,422310,159190,12306,593806,-13228
2007,425395,151686,11809,588890,3085
2008,446597,126729,11608,584934,21202
2009,448446,127089,12747,588282,1849
2010,532436,130658,14740,677834,83990
2011,541881,154660,15686,712227,9445
2012,526418,151887,15326,693631,-15463
2013,510972,142561,14989,668522,-15446
2014,509081,127634,14032,650747,-1891
2015,495027,131539,14055,640621,-14054
2016,482054,136090,13043,631187,-12973
2017,459342,135120,11525,605987,-22712
2018,444874,137532,11121,593527,-14468
2019,448111,135482,11331,594924,3237
2020,394024,142271,12439,548734,-54087
